drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,3237,73620,0.5469,NA,NA,NA,NA,9700,1.873,NA,NA,NA,NA,287.6,1.028
quinidine,3237,30680,0.7447,NA,NA,NA,NA,17990,1.243,NA,NA,NA,NA,338.5,1.221
quinidine,3237,37920,0.6735,NA,NA,NA,NA,16130,1.282,NA,NA,NA,NA,414.1,1.291
quinidine,3237,49780,0.6189,NA,NA,NA,NA,18850,1.117,NA,NA,NA,NA,498.8,1.235
quinidine,3237,50630,0.6019,NA,NA,NA,NA,16060,1.058,NA,NA,NA,NA,580,0.8973
quinidine,3237,63040,0.5612,NA,NA,NA,NA,9222,1.893,NA,NA,NA,NA,367.4,1.1
quinidine,3237,42760,0.5837,NA,NA,NA,NA,17550,1.202,NA,NA,NA,NA,293.4,0.979
quinidine,3237,61650,0.5473,NA,NA,NA,NA,12130,1.535,NA,NA,NA,NA,364.3,0.9782
quinidine,3237,64860,0.5709,NA,NA,NA,NA,14680,1.548,NA,NA,NA,NA,371.6,1.118
quinidine,3237,57520,0.5858,NA,NA,NA,NA,12530,1.569,NA,NA,NA,NA,315.6,1.485
quinidine,3237,66050,0.5615,NA,NA,NA,NA,11660,1.498,NA,NA,NA,NA,390.1,1.063
quinidine,3237,50610,0.572,NA,NA,NA,NA,11120,1.559,NA,NA,NA,NA,378.1,1.101
quinidine,3237,51800,0.5868,NA,NA,NA,NA,12290,1.357,NA,NA,NA,NA,347.1,1.023
quinidine,3237,59170,0.5894,NA,NA,NA,NA,15620,1.187,NA,NA,NA,NA,253.9,0.7722
quinidine,3237,69430,0.5241,NA,NA,NA,NA,11930,1.536,NA,NA,NA,NA,350.1,1.036
quinidine,3237,71610,0.5356,NA,NA,NA,NA,13570,1.525,NA,NA,NA,NA,287.6,1.03
quinidine,3237,47880,0.6096,NA,NA,NA,NA,27350,0.8969,NA,NA,NA,NA,297.1,0.7956
quinidine,3237,46630,0.6009,NA,NA,NA,NA,11100,1.705,NA,NA,NA,NA,312.1,0.9048
quinidine,3237,57730,0.5564,NA,NA,NA,NA,8948,1.833,NA,NA,NA,NA,339.4,1.171
quinidine,3237,40770,0.677,NA,NA,NA,NA,16070,1.148,NA,NA,NA,NA,325,0.8935
quinidine,3237,61310,0.5885,NA,NA,NA,NA,21680,0.9145,NA,NA,NA,NA,316.8,0.9343
quinidine,3237,64000,0.5581,NA,NA,NA,NA,10820,1.61,NA,NA,NA,NA,378.6,1.192
quinidine,3237,48100,0.6393,NA,NA,NA,NA,14950,1.343,NA,NA,NA,NA,339,1.008
quinidine,3237,64570,0.526,NA,NA,NA,NA,11390,1.573,NA,NA,NA,NA,378,1.404
quinidine,3237,61140,0.537,NA,NA,NA,NA,13470,1.447,NA,NA,NA,NA,323.4,1.128
quinidine,3237,59460,0.5489,NA,NA,NA,NA,11840,1.663,NA,NA,NA,NA,420.1,1.123
quinidine,3237,57090,0.5485,NA,NA,NA,NA,10850,1.673,NA,NA,NA,NA,385.3,1.211
quinidine,3237,31900,0.7018,NA,NA,NA,NA,10690,1.7,NA,NA,NA,NA,349.7,1.393
quinidine,3237,34950,0.6792,NA,NA,NA,NA,14530,1.399,NA,NA,NA,NA,356.4,1.415
quinidine,3237,62260,0.5395,NA,NA,NA,NA,11130,1.565,NA,NA,NA,NA,324.8,0.8442
quinidine,3237,75310,0.511,NA,NA,NA,NA,15430,1.295,NA,NA,NA,NA,301.6,0.6518
