V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.914816,0.014860,0.000087,7.356526,7.356615,144.513820,144.513792,1.684599,1.629570,0.000088,0.007409,0.695083,0.695071,0.695002,0.451423,0.694955,0.000191,0.487205,0.243236,0.001007,0.999547,0.524388,0.000513,0.999547,0.570750,0.000000,1.000000,0.863248,1.000000,0.999380,0.999909,1.000000,1.000000,0.003029,0.421096,0.000029,0.000000,0.000040,0.000682,0.000254,0.113285,0.086998,0.377617,99.000000,0.352768,0.000195,0.996782,0.000000,0.000000
-87.915072,0.014999,0.000087,7.331542,7.331631,144.532134,144.532106,1.681939,1.625783,0.000088,0.007409,0.695092,0.695080,0.695010,0.451433,0.694962,0.000191,0.485663,0.240459,0.001007,0.999547,0.518165,0.000513,0.999547,0.564023,0.000000,1.000000,0.859237,1.000000,0.999323,0.999900,1.000000,1.000000,0.003017,0.386364,0.000027,0.000000,0.000038,0.000763,0.000284,0.153939,0.121819,0.336766,99.000000,0.358491,0.000195,0.996782,0.000000,0.000000
-87.914460,0.015467,0.000087,7.346954,7.347044,144.522632,144.522605,1.697459,1.640087,0.000089,0.007409,0.695071,0.695058,0.694987,0.451407,0.694938,0.000191,0.484850,0.239068,0.001007,0.999547,0.515134,0.000513,0.999547,0.560719,0.000000,1.000000,0.857220,1.000000,0.999292,0.999895,1.000000,1.000000,0.003078,0.372046,0.000026,0.000000,0.000038,0.000919,0.000342,0.165540,0.129977,0.331113,99.000000,0.361415,0.000195,0.996783,0.000000,0.000000
-87.916174,0.014714,0.000087,7.355527,7.355617,144.520005,144.519977,1.680874,1.626235,0.000088,0.007408,0.695130,0.695118,0.695050,0.451479,0.695004,0.000191,0.487888,0.244444,0.001007,0.999547,0.527073,0.000513,0.999547,0.573666,0.000000,1.000000,0.865317,1.000000,0.999406,0.999913,1.000000,1.000000,0.003014,0.430811,0.000030,0.000000,0.000040,0.000599,0.000223,0.126268,0.098926,0.343102,99.000000,0.349908,0.000195,0.996782,0.000000,0.000000
-87.915960,0.015145,0.000087,7.342562,7.342651,144.530643,144.530615,1.687655,1.631158,0.000088,0.007408,0.695123,0.695110,0.695041,0.451469,0.694992,0.000191,0.485607,0.240333,0.001007,0.999547,0.517860,0.000513,0.999547,0.563687,0.000000,1.000000,0.859083,1.000000,0.999320,0.999899,1.000000,1.000000,0.003040,0.386124,0.000027,0.000000,0.000039,0.000892,0.000332,0.154871,0.120376,0.337340,99.000000,0.358802,0.000195,0.996782,0.000000,0.000000
-87.916849,0.014883,0.000087,7.343948,7.344037,144.531178,144.531150,1.680610,1.624838,0.000088,0.007407,0.695154,0.695142,0.695073,0.451506,0.695025,0.000191,0.486557,0.241987,0.001007,0.999548,0.521491,0.000513,0.999548,0.567631,0.000000,1.000000,0.861593,1.000000,0.999355,0.999905,1.000000,1.000000,0.003012,0.404988,0.000028,0.000000,0.000040,0.000824,0.000307,0.143203,0.110488,0.340122,99.000000,0.355441,0.000195,0.996782,0.000000,0.000000
-87.917928,0.014535,0.000087,7.344715,7.344804,144.534966,144.534939,1.671426,1.617006,0.000088,0.007406,0.695191,0.695179,0.695112,0.451550,0.695066,0.000191,0.487493,0.243645,0.001007,0.999548,0.525171,0.000513,0.999548,0.571631,0.000000,1.000000,0.864118,1.000000,0.999391,0.999911,1.000000,1.000000,0.002976,0.423597,0.000030,0.000000,0.000041,0.000779,0.000290,0.137072,0.105265,0.332927,99.000000,0.351372,0.000195,0.996782,0.000000,0.000000
-87.916058,0.015055,0.000087,7.341952,7.342041,144.532234,144.532206,1.686652,1.630702,0.000088,0.007408,0.695126,0.695114,0.695044,0.451473,0.694997,0.000191,0.486054,0.241117,0.001007,0.999547,0.519619,0.000513,0.999547,0.565588,0.000000,1.000000,0.860191,1.000000,0.999337,0.999902,1.000000,1.000000,0.003036,0.392305,0.000027,0.000000,0.000038,0.000755,0.000281,0.146441,0.115151,0.345002,99.000000,0.357077,0.000195,0.996782,0.000000,0.000000
-87.916589,0.015067,0.000087,7.339866,7.339955,144.534642,144.534614,1.683991,1.627563,0.000088,0.007407,0.695145,0.695132,0.695063,0.451494,0.695015,0.000191,0.485566,0.240239,0.001007,0.999547,0.517617,0.000513,0.999547,0.563434,0.000000,1.000000,0.859007,1.000000,0.999319,0.999899,1.000000,1.000000,0.003025,0.384872,0.000027,0.000000,0.000039,0.000913,0.000340,0.157325,0.122166,0.334319,99.000000,0.358873,0.000195,0.996782,0.000000,0.000000
-87.915546,0.015006,0.000087,7.350194,7.350284,144.522762,144.522734,1.687734,1.632045,0.000088,0.007408,0.695108,0.695096,0.695027,0.451452,0.694980,0.000191,0.486818,0.242507,0.001007,0.999547,0.522678,0.000513,0.999547,0.568897,0.000000,1.000000,0.861899,1.000000,0.999362,0.999906,1.000000,1.000000,0.003041,0.417569,0.000029,0.000000,0.000041,0.000788,0.000293,0.142374,0.110246,0.328660,99.000000,0.355056,0.000195,0.996782,0.000000,0.000000
-87.914952,0.014962,0.000087,7.361147,7.361237,144.511220,144.511192,1.688388,1.632969,0.000088,0.007409,0.695088,0.695075,0.695007,0.451429,0.694960,0.000191,0.487340,0.243481,0.001007,0.999547,0.524902,0.000513,0.999547,0.571302,0.000000,1.000000,0.863478,1.000000,0.999382,0.999910,1.000000,1.000000,0.003044,0.427996,0.000030,0.000000,0.000041,0.000709,0.000264,0.136900,0.106463,0.327598,99.000000,0.352826,0.000195,0.996782,0.000000,0.000000
-87.920637,0.014475,0.000086,7.320625,7.320713,144.563341,144.563313,1.660059,1.604840,0.000087,0.007404,0.695286,0.695274,0.695206,0.451660,0.695159,0.000191,0.485898,0.240673,0.001007,0.999548,0.518417,0.000513,0.999548,0.564350,0.000000,1.000000,0.860092,1.000000,0.999333,0.999901,1.000000,1.000000,0.002930,0.382436,0.000027,0.000000,0.000038,0.000836,0.000311,0.136917,0.105657,0.373779,99.000000,0.356782,0.000195,0.996781,0.000000,0.000000
-87.915547,0.015041,0.000087,7.348823,7.348913,144.524546,144.524519,1.688061,1.632300,0.000088,0.007408,0.695108,0.695096,0.695027,0.451452,0.694979,0.000191,0.486444,0.241833,0.001007,0.999547,0.521262,0.000513,0.999547,0.567361,0.000000,1.000000,0.861400,1.000000,0.999353,0.999905,1.000000,1.000000,0.003042,0.401347,0.000028,0.000000,0.000040,0.000878,0.000327,0.149880,0.115512,0.331987,99.000000,0.355449,0.000195,0.996782,0.000000,0.000000
-87.925199,0.013799,0.000085,7.299337,7.299424,144.594366,144.594339,1.632777,1.578968,0.000086,0.007401,0.695444,0.695433,0.695367,0.451847,0.695322,0.000191,0.486645,0.241831,0.001006,0.999548,0.520790,0.000513,0.999548,0.566979,0.000000,1.000000,0.862342,1.000000,0.999362,0.999906,1.000000,1.000000,0.002819,0.390205,0.000027,0.000000,0.000039,0.000853,0.000317,0.148889,0.114937,0.344733,99.000000,0.353265,0.000194,0.996780,0.000000,0.000000
-87.916280,0.014922,0.000087,7.347927,7.348017,144.526816,144.526788,1.683180,1.627535,0.000088,0.007408,0.695134,0.695122,0.695053,0.451482,0.695005,0.000191,0.486592,0.242072,0.001007,0.999547,0.521724,0.000513,0.999547,0.567875,0.000000,1.000000,0.861687,1.000000,0.999357,0.999905,1.000000,1.000000,0.003022,0.404553,0.000028,0.000000,0.000040,0.000761,0.000283,0.140921,0.109689,0.343724,99.000000,0.355135,0.000195,0.996782,0.000000,0.000000
