V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.935031,0.017773,0.000086,7.228575,7.228662,144.689632,144.689605,1.628241,1.541613,0.000087,0.007394,0.695786,0.695769,0.695672,0.452227,0.695560,0.000191,0.448668,0.192519,0.001006,0.999549,0.416454,0.000512,0.999549,0.453603,0.000000,1.000000,0.811726,1.000000,0.998075,0.999649,1.000000,1.000000,0.002905,0.273892,0.000022,0.000000,0.000116,0.011795,0.004460,0.185143,0.142020,0.382553,9711.000000,0.409511,0.000194,0.996777,0.000000,0.000000
-87.935437,0.018533,0.000086,7.213503,7.213590,144.704765,144.704739,1.628541,1.535125,0.000087,0.007393,0.695801,0.695782,0.695677,0.452239,0.695531,0.000191,0.441267,0.185438,0.001006,0.999549,0.402140,0.000512,0.999549,0.437880,0.000000,1.000000,0.804095,1.000000,0.997793,0.999587,1.000000,1.000000,0.002943,0.202832,0.000016,0.000000,0.000096,0.009974,0.003757,0.215254,0.166939,0.401133,9711.000000,0.415783,0.000194,0.996777,0.000000,0.000000
-87.933546,0.019622,0.000087,7.215109,7.215197,144.699025,144.698999,1.647016,1.548114,0.000087,0.007395,0.695735,0.695716,0.695604,0.452159,0.695435,0.000191,0.437540,0.182074,0.001006,0.999549,0.395413,0.000512,0.999549,0.430464,0.000000,1.000000,0.800051,1.000000,0.997633,0.999550,1.000000,1.000000,0.003019,0.198797,0.000016,0.000000,0.000097,0.010249,0.003866,0.215161,0.174787,0.397027,9711.000000,0.420083,0.000194,0.996778,0.000000,0.000000
-87.933620,0.019143,0.000087,7.220610,7.220698,144.695567,144.695541,1.639471,1.543792,0.000087,0.007395,0.695737,0.695719,0.695610,0.452163,0.695457,0.000191,0.440273,0.184543,0.001006,0.999549,0.400486,0.000512,0.999549,0.436035,0.000000,1.000000,0.803362,1.000000,0.997776,0.999585,1.000000,1.000000,0.002987,0.209655,0.000017,0.000000,0.000099,0.010369,0.003908,0.214278,0.167936,0.393737,9711.000000,0.415458,0.000194,0.996778,0.000000,0.000000
-87.934001,0.018600,0.000086,7.224958,7.225045,144.693832,144.693806,1.629018,1.536576,0.000087,0.007394,0.695751,0.695732,0.695627,0.452181,0.695489,0.000191,0.442980,0.187047,0.001006,0.999549,0.405609,0.000512,0.999549,0.441667,0.000000,1.000000,0.806748,1.000000,0.997906,0.999617,1.000000,1.000000,0.002941,0.227334,0.000018,0.000000,0.000103,0.010719,0.004043,0.203533,0.156376,0.397873,9711.000000,0.410688,0.000194,0.996778,0.000000,0.000000
-87.934657,0.019212,0.000087,7.210802,7.210890,144.705391,144.705365,1.637629,1.540098,0.000087,0.007394,0.695773,0.695754,0.695645,0.452205,0.695478,0.000191,0.437852,0.182342,0.001006,0.999549,0.395936,0.000512,0.999549,0.431046,0.000000,1.000000,0.800641,1.000000,0.997654,0.999555,1.000000,1.000000,0.002988,0.180402,0.000015,0.000000,0.000089,0.009326,0.003508,0.227109,0.178547,0.401006,9711.000000,0.419183,0.000194,0.996777,0.000000,0.000000
-87.935444,0.018111,0.000086,7.219633,7.219720,144.699072,144.699046,1.625957,1.535713,0.000087,0.007393,0.695801,0.695783,0.695681,0.452242,0.695551,0.000191,0.444432,0.188406,0.001006,0.999549,0.408088,0.000512,0.999549,0.444417,0.000000,1.000000,0.806628,1.000000,0.997903,0.999612,1.000000,1.000000,0.002920,0.232090,0.000018,0.000000,0.000098,0.009917,0.003754,0.126154,0.100800,0.527170,9711.000000,0.413763,0.000194,0.996777,0.000000,0.000000
-87.935605,0.018542,0.000086,7.211100,7.211187,144.708550,144.708525,1.623445,1.529260,0.000087,0.007393,0.695806,0.695788,0.695681,0.452245,0.695528,0.000191,0.440082,0.184349,0.001006,0.999549,0.400024,0.000512,0.999549,0.435546,0.000000,1.000000,0.803358,1.000000,0.997769,0.999583,1.000000,1.000000,0.002936,0.197394,0.000016,0.000000,0.000094,0.009857,0.003712,0.215540,0.168578,0.404809,9711.000000,0.414934,0.000194,0.996777,0.000000,0.000000
-87.933139,0.019091,0.000087,7.228499,7.228586,144.684294,144.684268,1.651057,1.557493,0.000087,0.007395,0.695721,0.695702,0.695598,0.452146,0.695464,0.000191,0.443747,0.187778,0.001006,0.999549,0.406797,0.000512,0.999549,0.442997,0.000000,1.000000,0.805877,1.000000,0.997850,0.999598,1.000000,1.000000,0.002993,0.235879,0.000019,0.000000,0.000106,0.010982,0.004146,0.198914,0.153604,0.396351,9711.000000,0.416600,0.000194,0.996778,0.000000,0.000000
-87.933838,0.019079,0.000087,7.220424,7.220512,144.695295,144.695269,1.640459,1.545192,0.000087,0.007395,0.695745,0.695726,0.695619,0.452173,0.695469,0.000191,0.440678,0.184912,0.001006,0.999549,0.401190,0.000512,0.999549,0.436811,0.000000,1.000000,0.803710,1.000000,0.997783,0.999586,1.000000,1.000000,0.002985,0.187066,0.000015,0.000000,0.000088,0.009218,0.003465,0.224605,0.169387,0.406156,9711.000000,0.416002,0.000194,0.996778,0.000000,0.000000
