Sample,dVm/dt
398,-0.398612
399,-0.392898
400,-0.403946
401,-0.401348
402,-0.396937
403,-0.392841
404,-0.390258
405,-0.399204
406,-0.413066
407,-0.406762
408,-0.403605
409,-0.402661
410,-0.398673
411,-0.401792
412,-0.394529
413,-0.400548
414,-0.409207
415,-0.404769
416,-0.400524
417,-0.401559
418,-0.401258
419,-0.403987
420,-0.400793
421,-0.396245
422,-0.400010
423,-0.403409
424,-0.396557
425,-0.404596
426,-0.395496
427,-0.398076
428,-0.398130
429,-0.405349
430,-0.405151
431,-0.403604
432,-0.405855
433,-0.408952
434,-0.399936
435,-0.404382
436,-0.401250
437,-0.393848
438,-0.391168
439,-0.404840
440,-0.394660
441,-0.397161
442,-0.407865
443,-0.397598
444,-0.409076
445,-0.398205
446,-0.403182
447,-0.402076
448,-0.399860
449,-0.403507
450,-0.399162
451,-0.401568
452,-0.394486
453,-0.402425
454,-0.402260
455,-0.401186
456,-0.397015
457,-0.399173
458,-0.398704
459,-0.401696
460,-0.397600
461,-0.402259
462,-0.403602
463,-0.403283
464,-0.403220
465,-0.401292
466,-0.399784
467,-0.400487
468,-0.398251
469,-0.398376
470,-0.402516
471,-0.398275
472,-0.402133
473,-0.403444
474,-0.392842
475,-0.399252
476,-0.402916
477,-0.392521
478,-0.386816
479,-0.401296
480,-0.399114
481,-0.400914
482,-0.405721
483,-0.399647
484,-0.401082
485,-0.400889
486,-0.405724
487,-0.396918
488,-0.394106
489,-0.400869
490,-0.399681
491,-0.389007
492,-0.401794
493,-0.402379
494,-0.397231
495,-0.395666
496,-0.407525
497,-0.397895
498,-0.397197
499,-0.399918
500,-0.398793
501,-0.398853
502,-0.390054
503,-0.406146
504,-0.411054
505,-0.405093
506,-0.406129
507,-0.398347
508,-0.403444
509,-0.401083
510,-0.403420
511,-0.403945
512,-0.396100
513,-0.398590
514,-0.414306
515,-0.403315
516,-0.398341
517,-0.406898
518,-0.418650
519,-0.402164
520,-0.397925
521,-0.401515
522,-0.405554
523,-0.402877
524,-0.396717
525,-0.399276
526,-0.395616
527,-0.395409
528,-0.397160
529,-0.397278
530,-0.391638
531,-0.402444
532,-0.399670
533,-0.398990
534,-0.398333
535,-0.400143
536,-0.405007
537,-0.405647
538,-0.399011
539,-0.396922
540,-0.400615
541,-0.402107
542,-0.402957
543,-0.398662
544,-0.391076
545,-0.401370
546,-0.397875
547,-0.398117
548,-0.400400
549,-0.402327
550,-0.394395
