V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.936148,0.010978,0.000084,7.282904,7.282988,144.650084,144.650057,1.586634,1.546202,0.000085,0.007393,0.695825,0.695816,0.695765,0.452302,0.695731,0.000191,0.500883,0.273219,0.001006,0.999549,0.594477,0.000512,0.999549,0.650658,0.000000,1.000000,0.920890,1.000000,0.999838,0.999977,1.000000,1.000000,0.002622,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.250592,0.000194,0.996777,0.000000,0.000000
-87.935836,0.011086,0.000084,7.282951,7.283036,144.649545,144.649518,1.589555,1.548676,0.000085,0.007393,0.695815,0.695805,0.695753,0.452289,0.695719,0.000191,0.500785,0.272967,0.001006,0.999549,0.593827,0.000512,0.999549,0.649753,0.000000,1.000000,0.919994,1.000000,0.999835,0.999977,1.000000,1.000000,0.002635,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252348,0.000194,0.996777,0.000000,0.000000
-87.936060,0.011005,0.000084,7.282913,7.282998,144.649946,144.649919,1.587382,1.546842,0.000085,0.007393,0.695822,0.695813,0.695762,0.452299,0.695727,0.000191,0.500858,0.273156,0.001006,0.999549,0.594314,0.000512,0.999549,0.650428,0.000000,1.000000,0.920659,1.000000,0.999838,0.999977,1.000000,1.000000,0.002626,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251039,0.000194,0.996777,0.000000,0.000000
-87.935925,0.011070,0.000084,7.282186,7.282271,144.650360,144.650333,1.589346,1.548537,0.000085,0.007393,0.695818,0.695808,0.695757,0.452293,0.695722,0.000191,0.500941,0.273413,0.001006,0.999549,0.595018,0.000512,0.999549,0.651233,0.000000,1.000000,0.921068,1.000000,0.999840,0.999977,1.000000,1.000000,0.002634,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.250152,0.000194,0.996777,0.000000,0.000000
-87.935184,0.011320,0.000084,7.282622,7.282707,144.648799,144.648772,1.596003,1.554156,0.000085,0.007394,0.695792,0.695782,0.695729,0.452262,0.695694,0.000191,0.500653,0.272656,0.001006,0.999549,0.593050,0.000512,0.999549,0.648585,0.000000,1.000000,0.918604,1.000000,0.999829,0.999976,1.000000,1.000000,0.002662,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.255003,0.000194,0.996777,0.000000,0.000000
-87.935578,0.011172,0.000084,7.282912,7.282996,144.649183,144.649156,1.591932,1.550704,0.000085,0.007393,0.695806,0.695796,0.695744,0.452279,0.695709,0.000191,0.500720,0.272806,0.001006,0.999549,0.593416,0.000512,0.999549,0.649167,0.000000,1.000000,0.919366,1.000000,0.999832,0.999976,1.000000,1.000000,0.002645,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253558,0.000194,0.996777,0.000000,0.000000
-87.936271,0.010933,0.000084,7.282881,7.282965,144.650309,144.650282,1.585418,1.545177,0.000085,0.007393,0.695830,0.695820,0.695769,0.452308,0.695735,0.000191,0.500924,0.273326,0.001006,0.999549,0.594753,0.000512,0.999549,0.651042,0.000000,1.000000,0.921263,1.000000,0.999840,0.999977,1.000000,1.000000,0.002617,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.249852,0.000194,0.996777,0.000000,0.000000
-87.935509,0.011197,0.000084,7.282996,7.283081,144.648992,144.648965,1.592570,1.551235,0.000085,0.007393,0.695803,0.695794,0.695741,0.452276,0.695706,0.000191,0.500684,0.272710,0.001006,0.999549,0.593165,0.000512,0.999549,0.648837,0.000000,1.000000,0.919074,1.000000,0.999831,0.999976,1.000000,1.000000,0.002648,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.254136,0.000194,0.996777,0.000000,0.000000
-87.934994,0.011373,0.000084,7.283062,7.283147,144.648123,144.648096,1.597344,1.555279,0.000085,0.007394,0.695785,0.695776,0.695723,0.452254,0.695687,0.000191,0.500525,0.272306,0.001006,0.999549,0.592132,0.000512,0.999549,0.647418,0.000000,1.000000,0.917630,1.000000,0.999825,0.999975,1.000000,1.000000,0.002668,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.256925,0.000194,0.996777,0.000000,0.000000
-87.935871,0.011067,0.000084,7.282938,7.283023,144.649632,144.649605,1.589084,1.548293,0.000085,0.007393,0.695816,0.695806,0.695755,0.452291,0.695720,0.000191,0.500802,0.273011,0.001006,0.999549,0.593938,0.000512,0.999549,0.649905,0.000000,1.000000,0.920137,1.000000,0.999835,0.999977,1.000000,1.000000,0.002633,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252056,0.000194,0.996777,0.000000,0.000000
